transaction_id,user_id,signup_date,account_age_days,device_id,datr_token,ssl_fingerprint,accounts_per_device,high_device_reuse_flag,ip_address,asn,asn_provider,asn_type,non_residential_asn_flag,ip_country,high_risk_country_flag,subscription_plan,trial_used_before,payment_status,refund_count_90d,refunded_flag,chargeback_flag,risk_score,review_bucket,fraud_type,fraud_label
TXN_00522,USR_00522,2025-04-02,333,DVC_032EBF5B32,DATR_8aea82b2edc84ae4,TLS_772_4865-49196_firefox_linux,1,0,22.243.25.43,AS7018,AT&T,residential,0,US,0,monthly,0,refunded,0,1,0,0,low_risk,legit,0
TXN_00738,USR_00738,2025-03-28,338,DVC_CE07500BE3,DATR_7f29fcc291b347aa,TLS_771_4865-4866-4867_chrome_win,1,0,210.36.228.149,AS7922,Comcast,residential,0,US,0,monthly,0,refunded,0,1,0,0,low_risk,legit,0
TXN_00741,USR_00741,2026-01-15,45,DVC_11B28050FB,DATR_ebbe7b95bfab4638,TLS_771_4865-4866_safari_ios,1,0,253.131.104.217,AS10796,Charter,residential,0,US,0,annual,0,paid,0,0,0,0,low_risk,legit,0
TXN_00661,USR_00661,2025-09-03,179,DVC_9FBD5F9D8C,DATR_ddf5749cd72d408c,TLS_772_4865-4866-4867_edge_win,1,0,206.114.160.38,AS10796,Charter,residential,0,UK,0,trial,0,paid,0,0,0,0,low_risk,legit,0
TXN_00412,USR_00412,2025-03-14,352,DVC_C4F358584B,DATR_5dd73ad2df434324,TLS_772_4865-49196_firefox_linux,1,0,187.1.243.180,AS21928,T-Mobile,residential,0,US,0,monthly,0,failed,0,0,0,0,low_risk,legit,0
TXN_00679,USR_00679,2025-05-15,290,DVC_6508C6D457,DATR_9376ea25187b4b0e,TLS_771_4865-49195_chrome_mac,1,0,60.60.176.7,AS10796,Charter,residential,0,US,0,trial,0,paid,0,0,0,0,low_risk,legit,0
TXN_00627,USR_00627,2025-07-01,243,DVC_99690CBD49,DATR_796c027b77d2480d,TLS_772_4865-4866-4867_edge_win,1,0,198.23.64.41,AS10796,Charter,residential,0,US,0,trial,0,failed,0,0,0,0,low_risk,legit,0
TXN_00514,USR_00514,2025-05-21,284,DVC_C69C61893C,DATR_c1e16be1eb03422d,TLS_771_4865-49195_chrome_mac,1,0,150.217.66.2,AS21928,T-Mobile,residential,0,US,0,monthly,0,paid,0,0,0,0,low_risk,legit,0
TXN_00860,USR_00860,2025-12-16,75,DVC_74F078F152,DATR_REFUND_62fe826212,TLS_772_4865-4866-4867_edge_win,11,1,91.252.98.109,AS7922,Comcast,residential,0,US,0,monthly,1,paid,5,0,0,65,medium_risk,refund_abuse,1
TXN_00137,USR_00137,2025-10-17,135,DVC_411EEA7453,DATR_a300386ca06b4d0a,TLS_771_4865-4866-4867_chrome_win,1,0,108.135.30.191,AS7922,Comcast,residential,0,US,0,monthly,0,paid,1,0,0,0,low_risk,legit,0
TXN_00812,USR_00812,2025-04-15,320,DVC_E06499272F,DATR_6ba4228cccbc4c78,TLS_772_4865-4866-4867_edge_win,1,0,1.221.161.19,AS20057,Verizon,residential,0,CA,0,annual,0,paid,1,0,0,0,low_risk,legit,0
TXN_00077,USR_00077,2025-09-21,161,DVC_B5F0D9524E,DATR_45296200e80240df,TLS_771_4865-4866_safari_ios,1,0,244.196.177.48,AS7922,Comcast,residential,0,CA,0,trial,0,paid,0,0,0,0,low_risk,legit,0
TXN_00637,USR_00637,2026-01-06,54,DVC_427429FA08,DATR_21e706d6fbae4756,TLS_772_4865-4866-4867_edge_win,1,0,9.147.165.215,AS20057,Verizon,residential,0,US,0,monthly,0,failed,0,0,0,0,low_risk,legit,0
